Linha de ônibus,Cidade,Lista de pontos de paradas sequenciais
1177-31-0,São Paulo,"[1665564383, 3900816588, 3900816591, 1677383689, 5345740318, 3883760646, 6100980784, 2793694685, 2793694683, 1677383802, 1679947801, 1676192683, 1679947891, 1676192695, 242658581, 1678678352, 1678678194, 1678551602, 3134359432, 1678142780, 1650371172, 1678550496, 1650370780, 1650371297, 1650370658, 1650370913, 7285439961, 552894294, 2061326895, 135571294, 173947272, 129959872, 135613865, 462003768, 129960408, 638425893, 151237878, 2450377900, 2527915011, 4307569903, 4338378992, 1420138394, 6564989830, 661212047, 248110872, 457055197, 304055048, 2368800294]"
1177-31-1,São Paulo,"[2368800294, 457055108, 461879227, 171976302, 599043086, 445043108, 445042845, 445043918, 445061615, 151237878, 2540728581, 133469187, 130112373, 462003768, 647106140, 130009967, 129958525, 129959876, 173947596, 2357332934, 6941597788, 285698516, 5328066526, 5328066526, 1664126336, 1650370658, 1650371297, 5337478040, 7941459984, 242658018, 1678678138, 1678678223, 242658025, 242658581, 1662602695, 1679947891, 1662602473, 1676192676, 1677383802, 2793694680, 3883760646, 5345740318, 1677383657, 3900816588, 1665564383]"
1178-10-0,São Paulo,"[5435349331, 5435349331, 1728049836, 1728048754, 1733509334, 1733509342, 1732137868, 1733364682, 1733364191, 1733363920, 1989729242, 2368411752, 1728327794, 1728328567, 1732150181, 1728329582, 3900798696, 7284960546, 1682399169, 1207475770, 1205976963, 3900790085, 1205974155, 4229041833, 4964976393, 4964976397, 1205973827, 3900753049, 2528375474, 2057821224, 2528375450, 2057821180, 2057821147, 2057821174, 2894388038, 1205975410, 3900731100, 2894407855, 2894419830, 2057821376, 2086998929, 1205976098, 2086999041, 1660692249, 2085790155, 5115699219, 2087545883, 2085790259, 1664485107, 8024139286, 2089437974, 1215012827, 5341283445, 1215012491, 1215012996, 2080537857, 1215013023, 1664231903, 1664232046, 1706344449, 2528375690, 5338795437, 2107294361, 25781831, 25782038, 1824754107, 25782068, 8952974572, 1707673085, 25782248, 2348890982, 1707696367, 1708663300, 6221835688, 7285099759, 163220301, 2487452030, 7935675054, 25908745, 25927315, 25928248, 2391290547, 2021790380, 60685859, 60685853, 4530629173]"
1178-10-1,São Paulo,"[4530629173, 4530629173, 60685911, 4228472160, 60734206, 25928248, 25927018, 4230266409, 6633613131, 452091577, 929655279, 2350164872, 2350165008, 597440, 2350165047, 597441, 7986704272, 25778531, 1432170576, 130111898, 25778718, 26128865, 433999472, 433999472, 25781742, 4384427704, 4384427706, 1706345625, 1706412656, 1706344385, 2072385828, 5341300919, 2074982286, 6025020493, 2080537845, 1215012996, 7937665523, 2072973569, 1215012472, 2072973528, 1215012616, 7937519167, 5775565908, 1660692304, 1660692258, 1660692315, 2057821384, 2086998929, 7937439860, 1705203077, 2894409865, 2057821264, 2894388038, 3900731331, 2057821147, 7822475603, 2057821201, 2057821236, 2528375491, 4863009348, 1207475734, 3900762024, 1205976815, 1207482054, 1205975631, 1205975921, 1205976477, 1205975925, 3900798774, 6093546240, 1207475383, 1207475757, 1677439270, 1213743831, 3900798696, 1732119271, 4147203461, 1728328567, 1728328136, 1664042126, 1733364163, 1732137868, 1733364793, 1733364853, 1728042972, 1728048691, 1728049519, 1728051528, 1705048654, 5435349331, 5435349331]"
1178-31-0,São Paulo,"[5435349331, 5435349331, 1728049836, 1728048754, 1733509334, 1733509342, 1732137868, 1733364682, 1733364191, 1733363920, 1989729242, 2368411752, 1728327794, 1732149973, 1664010367, 2057821303, 5446997378, 2368395922, 3900790104, 4229084364, 2057821185, 2057821224, 2528375450, 2057821180, 2057821147, 2057821174, 2894388038, 1205975410, 3900731100, 2894407855, 2894419830, 2057821376, 2086998929, 1205976098, 2086999041, 1660692249, 2085790155, 5115699219, 2087545883, 2085790259, 1664485107, 8024139286, 2089437974, 1215012827, 5341283445, 1215012491, 1215012996, 2080537857, 1215013023, 1664231903, 1664232046, 1706344449, 2528375690, 5338795437, 2107294361, 25781831, 25782038, 1824754107, 25782068, 8952974572, 1707673085, 25782248, 2348890982, 1707696367, 1708663300, 6221835688, 7285099759, 163220301, 2487452030, 7935675054, 25908745, 25927315, 25928248, 2391290547, 2021790380, 60685859, 60685853, 4530629173]"
1178-31-1,São Paulo,"[4530629173, 60685911, 4228472160, 60734206, 25928248, 25927018, 4230266409, 6633613131, 452091577, 929655279, 2350164872, 2350165008, 597440, 2350165047, 597441, 7986704272, 25778531, 1432170576, 130111898, 25778718, 26128865, 433999472, 433999472, 25781742, 4384427704, 4384427706, 1706345625, 1706412656, 1706344385, 2072385828, 5341300919, 2074982286, 6025020493, 2080537845, 1215012996, 7937665523, 2072973569, 1215012472, 2072973528, 1215012616, 7937519167, 5775565908, 1660692304, 1660692258, 1660692315, 2057821384, 2086998929, 7937439860, 1705203077, 2894409865, 2057821264, 2894388038, 3900731331, 2057821147, 7822475603, 2057821201, 2057821236, 2057821185, 7852128772, 2090941672, 2368395922, 1205974242, 2057821309, 1664010316, 3904979165, 1728328136, 1664042126, 1733364163, 1732137868, 1733364793, 1733364853, 1728042972, 1728048691, 1728049519, 1728051528, 1705048654, 5435349331, 5435349331]"
1178-32-0,São Paulo,"[1213743956, 2336571157, 1207475625, 2528375548, 6083060997, 6083061014, 6083061014, 1207481970, 6083061028, 1207475792, 2057821224, 2528375450, 2057821180, 2057821147, 2057821174, 1205975410, 3900731100, 2894407855, 2894419830, 2057821376, 2086998929, 1205976098, 2086998996, 8916254035, 2085789585, 2085789581, 2089437541, 2089437571, 2057821423, 2080537390, 2057821455, 2074982195, 2074982190, 2057821570, 2072385755, 8769122337, 7953385610, 1706344449, 2528375690, 5338795437, 2107294361, 25781831, 25782038, 1824754107, 25782068, 8952974572, 1707673085, 25782248, 2348890982, 1707696367, 1708663300, 6221835688, 7285099759, 163220301, 2487452030, 7935675054, 25908745, 25927315, 25928248, 2391290547, 2021790380, 60685859, 60685853]"
1178-33-0,São Paulo,"[4530629173, 4530629173, 60685911, 4228472160, 60734206, 25928248, 25927018, 4230266409, 6633613131, 452091577, 929655279, 2350164872, 2350165008, 597440, 2350165047, 597441, 7986704272, 25778531, 1432170576, 130111898, 25778718, 26128865, 433999472, 433999472, 25781742, 4384427704, 4384427706, 1706345625, 1706412656, 1706344385, 1706344254, 4929714374, 1706412570, 2057821566, 2057821476, 2074982205, 2080537600, 2089437726, 1660699779, 2089437582, 2089437541, 2057821398, 2057821405, 2057821388, 2057821386, 2057821384, 2086998929, 7937439860, 1705203077, 2894409865, 2057821264, 2894388038, 3900731331, 2057821147, 7822475603, 2057821201, 2057821236, 2528375491, 1207475403, 1207481970, 6083061084, 2528375546, 1205974202, 2528375605, 5438754575, 1677439270, 1213743831, 3900798696, 1732119271, 4147203461, 1728328567, 1728328136, 1664042126, 1733364163, 1732137868, 1733364793, 1733364853, 1728042972, 1728048691, 1728049519, 1728051528, 1705048654, 5435349331]"
1178-42-0,São Paulo,"[1705202967, 1705202967, 1705202971, 3900731143, 1609074051, 1609073445, 1215013288, 1215013182, 2057821376, 2086998929, 1205976098, 2086999041, 1660692249, 2085790155, 5115699219, 2087545883, 2085790259, 1664485107, 8024139286, 2089437974, 1215012827, 5341283445, 1215012491, 1215012996, 2080537857, 1215013023, 1664231903, 1664232046, 1706344449, 2528375690, 5338795437, 2107294361, 25781831, 25782038, 1824754107, 25782068, 8952974572, 1707673085, 25782248, 2348890982, 1707696367, 1708663300, 6221835688, 7285099759, 163220301, 2487452030, 7935675054, 25908745, 25927315, 25928248, 2391290547, 2021790380, 60685859, 60685853]"
118C-10-0,São Paulo,"[1804029827, 1804029796, 1804029450, 3840268227, 1804059693, 1804029156, 1804029474, 1804029808, 1804030045, 1804030192, 1804030376, 1804030611, 8943865290, 949137498, 949137419, 1804363138, 1804363147, 1002357225, 506041109, 8699090994, 506041114, 506041123, 2384950555, 1002419548, 2384942154, 1002419280, 4915753972, 2384915582, 2210347381, 2210347369, 8073752760, 7859595190, 4364647716, 2116645574, 2502357612, 3477816513, 185796216, 3791816065, 1733650820, 2116629080, 2387133352, 2116627833, 1709028075, 929591958, 4917020234, 462038011, 2783736246, 2934921749, 452091606, 25927315, 25928248, 5497521741, 171968214, 2395182759, 929571146, 457039438, 457039413, 457046519, 4011418236, 409011547, 409011547, 148632587]"
